City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
283,beloyarskiy,63.7119,66.6722,14.35,90,0,1.63,RU,1690661679
284,antonio enes,-16.2325,39.9086,22.84,66,0,4.14,MZ,1690661680
285,mariehamn,60.0973,19.9348,19.34,94,0,1.03,AX,1690661680
286,tommot,58.9564,126.2925,12.9,90,0,0.53,RU,1690661538
287,kupang,-10.1667,123.5833,23.06,87,52,3.28,ID,1690661680
288,lerwick,60.1545,-1.1494,14.0,97,100,4.09,GB,1690661681
289,singojuruh,-8.3167,114.2333,20.97,94,99,0.24,ID,1690661681
290,kudahuvadhoo,2.6708,72.8944,27.07,76,90,2.55,MV,1690661681
291,lata,40.1629,-8.3327,20.04,75,0,2.09,PT,1690661681
292,kusong,39.9811,125.2447,21.88,98,100,0.8,KP,1690661681
293,kismayo,-0.3582,42.5454,24.37,86,56,6.36,SO,1690661682
294,harper,4.375,-7.7169,25.24,83,100,3.83,LR,1690661682
295,flying fish cove,-10.4217,105.6791,23.82,88,100,5.66,CX,1690661682
296,mandan,46.8267,-100.8896,27.67,53,0,2.57,US,1690661599
297,langxiang,46.95,128.8833,17.48,97,61,1.9,CN,1690661683
298,sukhinichi,54.0999,35.3425,16.74,70,100,1.43,RU,1690661683
299,karystos,38.0133,24.4161,28.01,30,0,0.45,GR,1690661683
300,bel ombre,-4.6167,55.4167,25.91,83,20,4.12,SC,1690661683
301,lihue,21.9789,-159.3672,27.58,83,75,8.23,US,1690661683
302,whakatane,-37.9585,176.9854,7.1,97,14,2.32,NZ,1690661684
303,greymouth,-42.4667,171.2,3.86,89,18,2.72,NZ,1690661684
304,iskateley,67.6803,53.1512,18.44,77,63,4.98,RU,1690661684
305,selfoss,63.9331,-20.9971,13.91,75,100,1.77,IS,1690661684
306,san jose de jachal,-30.2406,-68.7469,26.51,10,56,2.54,AR,1690661685
307,juneau,58.3019,-134.4197,22.83,100,40,4.12,US,1690661578
308,inhambane,-23.865,35.3833,21.26,79,43,6.72,MZ,1690661685
309,ozd,48.2167,20.3,18.72,84,50,1.28,HU,1690661685
310,island harbour,50.724,-1.2758,18.42,86,51,1.34,GB,1690661686
311,nova sintra,14.8667,-24.7167,22.32,75,14,7.2,CV,1690661686
312,saipan,15.1355,145.701,26.39,89,0,1.54,MP,1690661686
313,tahla,34.0485,-4.428,31.9,31,83,3.3,MA,1690661687
314,halstead,51.328,0.1327,19.1,59,20,3.6,GB,1690661687
315,kayangel,8.0823,134.7173,28.3,78,100,6.22,PW,1690661687
316,khadyzhensk,44.4256,39.5319,16.8,78,0,1.13,RU,1690661687
317,kantemirovka,49.7089,39.8592,14.77,91,4,3.36,RU,1690661690
318,enriquillo,17.9,-71.2333,31.82,68,73,5.91,DO,1690661690
319,kerben,40.2951,72.1863,24.28,28,84,3.02,KG,1690661690
320,cochabamba,-17.3895,-66.1568,22.86,18,20,3.09,BO,1690661667
321,zaozersk,69.4005,32.4476,11.21,98,99,1.8,RU,1690661691
322,ancud,-41.8697,-73.8203,11.44,87,100,7.98,CL,1690661691
323,luderitz,-26.6481,15.1594,12.5,69,18,7.11,NA,1690661691
324,nagqu,31.5,92.0,5.3,88,100,0.64,CN,1690661691
325,qaqortoq,60.7167,-46.0333,8.14,74,31,1.3,GL,1690661691
326,imbituba,-28.24,-48.6703,15.13,70,4,2.95,BR,1690661692
327,itacoatiara,-3.1431,-58.4442,35.1,34,88,1.92,BR,1690661692
328,igbeti,8.75,4.1333,23.26,93,100,2.45,NG,1690661692
329,puerto ayora,-0.7393,-90.3518,29.98,87,66,3.58,EC,1690661692
330,ola,59.5833,151.2833,12.86,94,100,1.77,RU,1690661693
331,cadale,2.7603,46.3222,25.27,83,65,7.05,SO,1690661697
332,jamaame,0.0697,42.745,24.01,86,41,4.59,SO,1690661697
333,nelson bay,-32.7167,152.15,15.0,90,25,1.79,AU,1690661698
334,aykhal,66.0,111.5,14.97,57,9,1.54,RU,1690661698
335,belel,7.05,14.4333,16.79,98,100,1.09,CM,1690661698
336,pangai,-19.8,-174.35,21.16,58,7,6.19,TO,1690661698
337,raja,8.4596,25.678,25.18,70,100,1.71,SS,1690661699
338,dzhalagash,45.0833,64.6667,30.47,25,57,3.86,KZ,1690661699
339,sao domingos do maranhao,-5.5758,-44.3853,35.94,25,22,3.12,BR,1690661699
340,mbekenyera,-10.0,38.9833,19.38,84,0,2.61,TZ,1690661699
341,karratha,-20.7377,116.8463,19.49,31,83,4.59,AU,1690661700
342,anatoli,39.6389,20.8653,21.86,60,0,1.03,GR,1690661700
343,palmer,42.1584,-72.3287,30.5,65,75,2.57,US,1690661700
344,la ronge,55.1001,-105.2842,24.14,31,75,4.12,CA,1690661700
345,taoudenni,22.6783,-3.9836,41.44,11,12,5.33,ML,1690661701
346,bosaso,11.2842,49.1816,34.35,37,3,11.12,SO,1690661701
347,al khinzirah,31.0567,35.6017,24.64,43,0,3.05,JO,1690661701
348,vila velha,-20.3297,-40.2925,22.97,86,100,7.2,BR,1690661701
349,nsanje,-16.92,35.262,21.97,49,0,0.9,MW,1690661702
350,myshkin,57.7897,38.4545,12.4,96,100,1.95,RU,1690661702
351,mejit,10.2753,170.8646,28.3,79,89,9.24,MH,1690661702
352,robertsport,6.7533,-11.3686,26.15,82,100,6.36,LR,1690661703
353,castillos,-34.1667,-53.8333,11.49,67,100,2.58,UY,1690661703
354,laguna,38.421,-121.4238,35.6,26,0,4.63,US,1690661703
355,quelimane,-17.8786,36.8883,21.1,82,0,3.55,MZ,1690661414
356,sumenep,-7.0167,113.8667,24.15,79,55,4.83,ID,1690661704
357,mersing,2.4312,103.8405,24.95,94,20,2.57,MY,1690661704
358,yaren,-0.5472,166.916,28.47,74,78,2.78,NR,1690661704
359,necochea,-38.5473,-58.7368,14.68,61,100,8.2,AR,1690661704
360,razumnoye,50.5344,36.6846,18.6,77,0,3.0,RU,1690661705
361,mumford,5.2618,-0.759,24.13,92,42,3.23,GH,1690661706
362,trondheim,63.4305,10.3951,17.03,90,0,1.01,NO,1690661706
363,villa gesell,-37.2639,-56.973,14.47,69,31,7.98,AR,1690661661
